header,maxmem,runtime
Query9 dietpi liberica mem640m default 2,595580,255
Query9 dietpi liberica mem640m default 4,573560,262
Query9 dietpi liberica mem640m default 5,587800,259
Query9 dietpi liberica mem640m default 6,578512,253
Query9 dietpi liberica mem640m default 7,579068,255
Query9 dietpi liberica mem640m default 8,573360,259
