header,maxmem,runtime
Query18 dietpi liberica mem640m default,517164,600
Query18 dietpi liberica mem896m default,630452,488
Query18 dietpi liberica mem896m default,602956,428
Query18 dietpi liberica mem896m default,602956,262
Query18 dietpi liberica mem896m default,565628,573
Query18 dietpi liberica mem896m default,643168,267
